segment;cod;asset;type;part;partAcum;theoricalQty;dt_pregao
;HYPE3;HYPERA;ON      NM;0,481;;360.057.207;2025-07-17
;IGTI11;IGUATEMI S.A;UNT     N1;0,210;;198.474.750;2025-07-17
;IRBR3;IRBBRASIL RE;ON      NM;0,176;;81.838.243;2025-07-17
;ISAE4;ISA ENERGIA;PN      N1;0,431;;395.801.044;2025-07-17
;ITSA4;ITAUSA;PN      N1;2,937;;5.856.697.902;2025-07-17
;ITUB4;ITAUUNIBANCO;PN      N1;8,002;;4.757.320.048;2025-07-17
;KLBN11;KLABIN S/A;UNT     N2;0,698;;765.785.673;2025-07-17
;RENT3;LOCALIZA;ON      NM;1,691;;956.264.719;2025-07-17
;LREN3;LOJAS RENNER;ON      NM;0,914;;1.030.587.204;2025-07-17
;MGLU3;MAGAZ LUIZA;ON      NM;0,137;;353.448.195;2025-07-17
;POMO4;MARCOPOLO;PN      N2;0,266;;666.378.439;2025-07-17
;MRFG3;MARFRIG;ON      NM;0,264;;237.618.211;2025-07-17
;BEEF3;MINERVA;ON      NM;0,110;;433.214.256;2025-07-17
;MOTV3;MOTIVA SA;ON      NM;0,616;;991.920.937;2025-07-17
;MRVE3;MRV;ON      NM;0,107;;375.507.695;2025-07-17
;MULT3;MULTIPLAN;ON      N2;0,389;;314.311.970;2025-07-17
;NATU3;NATURA;ON      NM;0,394;;845.713.747;2025-07-17
;PCAR3;P.ACUCAR-CBD;ON      NM;0,078;;461.260.303;2025-07-17
;PETR3;PETROBRAS;ON      N2;4,636;;2.820.420.899;2025-07-17
;PETR4;PETROBRAS;PN      N2;6,703;;4.410.955.873;2025-07-17
;RECV3;PETRORECSA;ON      NM;0,184;;274.981.010;2025-07-17
;PRIO3;PETRORIO;ON      NM;1,580;;779.999.989;2025-07-17
;PETZ3;PETZ;ON  ATZ NM;0,056;;295.519.280;2025-07-17
;PSSA3;PORTO SEGURO;ON      NM;0,450;;182.560.698;2025-07-17
;RADL3;RAIADROGASIL;ON      NM;0,856;;1.297.567.800;2025-07-17
;RAIZ4;RAIZEN;PN      N2;0,087;;1.210.756.333;2025-07-17
;RDOR3;REDE D OR;ON      NM;1,840;;1.145.289.019;2025-07-17
;RAIL3;RUMO S.A.;ON      NM;0,989;;1.216.914.397;2025-07-17
;SBSP3;SABESP;ON      NM;3,671;;683.495.706;2025-07-17
;SANB11;SANTANDER BR;UNT;0,472;;356.586.730;2025-07-17
;STBP3;SANTOS BRP;ON      NM;0,271;;409.543.219;2025-07-17
;SMTO3;SAO MARTINHO;ON      NM;0,109;;128.130.966;2025-07-17
;CSNA3;SID NACIONAL;ON;0,278;;727.459.637;2025-07-17
;SLCE3;SLC AGRICOLA;ON      NM;0,171;;194.261.422;2025-07-17
;SMFT3;SMART FIT;ON      NM;0,355;;328.547.988;2025-07-17
;SUZB3;SUZANO S.A.;ON  ATZ NM;1,523;;630.821.784;2025-07-17
;TAEE11;TAESA;UNT     N2;0,353;;218.568.234;2025-07-17
;VIVT3;TELEF BRASIL;ON;1,146;;764.884.256;2025-07-17
;TIMS3;TIM;ON      NM;0,800;;806.346.600;2025-07-17
;TOTS3;TOTVS;ON      NM;1,078;;531.531.039;2025-07-17
;UGPA3;ULTRAPAR;ON      NM;0,857;;1.089.082.981;2025-07-17
;USIM5;USIMINAS;PNA     N1;0,099;;515.193.199;2025-07-17
;VALE3;VALE;ON      NM;11,105;;4.270.903.023;2025-07-17
;VAMO3;VAMOS;ON      NM;0,092;;485.166.826;2025-07-17
;VBBR3;VIBRA;ON      NM;1,150;;1.113.939.036;2025-07-17
;VIVA3;VIVARA S.A.;ON      NM;0,149;;123.160.591;2025-07-17
;WEGE3;WEG;ON      NM;2,913;;1.482.105.837;2025-07-17
;YDUQ3;YDUQS PART;ON      NM;0,178;;260.249.057;2025-07-17
