segment;cod;asset;type;part;partAcum;theoricalQty;dt_pregao
;ALOS3;ALLOS;ON      NM;0,502;;476.976.044;2025-07-17
;ABEV3;AMBEV S/A;ON;2,874;;4.394.835.131;2025-07-17
;ASAI3;ASSAI;ON      NM;0,657;;1.345.897.506;2025-07-17
;AURE3;AUREN;ON      NM;0,139;;323.738.747;2025-07-17
;AZZA3;AZZAS 2154;ON      NM;0,237;;136.643.320;2025-07-17
;B3SA3;B3;ON      NM;3,400;;5.200.055.464;2025-07-17
;BBSE3;BBSEGURIDADE;ON      NM;1,061;;637.332.335;2025-07-17
;BBDC3;BRADESCO;ON      N1;0,967;;1.469.064.981;2025-07-17
;BBDC4;BRADESCO;PN      N1;3,924;;5.111.682.020;2025-07-17
;BRAP4;BRADESPAR;PN      N1;0,194;;250.982.988;2025-07-17
;BBAS3;BRASIL;ON      NM;2,837;;2.842.613.858;2025-07-17
;BRKM5;BRASKEM;PNA     N1;0,115;;265.388.400;2025-07-17
;BRAV3;BRAVA;ON  ATZ NM;0,399;;451.311.960;2025-07-17
;BRFS3;BRF SA;ON      NM;0,827;;832.617.717;2025-07-17
;BPAC11;BTGP BANCO;UNT     N2;2,526;;1.287.247.964;2025-07-17
;CXSE3;CAIXA SEGURI;ON      NM;0,403;;600.000.000;2025-07-17
;CMIG4;CEMIG;PN      N1;0,935;;1.858.636.840;2025-07-17
;COGN3;COGNA ON;ON      NM;0,243;;1.872.454.628;2025-07-17
;CPLE6;COPEL;PNB     N2;0,963;;1.671.982.390;2025-07-17
;CSAN3;COSAN;ON      NM;0,347;;1.160.227.510;2025-07-17
;CPFE3;CPFL ENERGIA;ON      NM;0,344;;187.732.538;2025-07-17
;CMIN3;CSNMINERACAO;ON      N2;0,405;;1.646.519.336;2025-07-17
;CVCB3;CVC BRASIL;ON      NM;0,054;;450.926.127;2025-07-17
;CYRE3;CYRELA REALT;ON      NM;0,327;;257.174.951;2025-07-17
;DIRR3;DIRECIONAL;ON      NM;0,211;;108.541.907;2025-07-17
;ELET3;ELETROBRAS;ON      N1;3,386;;1.808.652.474;2025-07-17
;ELET6;ELETROBRAS;PNB     N1;0,550;;268.875.696;2025-07-17
;EMBR3;EMBRAER;ON      NM;2,500;;734.631.701;2025-07-17
;ENGI11;ENERGISA;UNT     N2;0,714;;326.175.300;2025-07-17
;ENEV3;ENEVA;ON      NM;1,268;;1.907.494.195;2025-07-17
;EGIE3;ENGIE BRASIL;ON      NM;0,509;;255.236.938;2025-07-17
;EQTL3;EQUATORIAL;ON      NM;2,044;;1.244.304.866;2025-07-17
;FLRY3;FLEURY;ON      NM;0,279;;455.988.366;2025-07-17
;GGBR4;GERDAU;PN      N1;1,034;;1.308.152.318;2025-07-17
;GOAU4;GERDAU MET;PN      N1;0,275;;623.866.944;2025-07-17
;HAPV3;HAPVIDA;ON      NM;0,498;;311.217.208;2025-07-17
