segment;cod;asset;type;part;partAcum;theoricalQty;dt_pregao
;VIVT3;TELEF BRASIL;ON;1,139;;764.884.256;2025-07-15
;TIMS3;TIM;ON      NM;0,804;;806.346.600;2025-07-15
;TOTS3;TOTVS;ON      NM;1,055;;531.531.039;2025-07-15
;UGPA3;ULTRAPAR;ON      NM;0,868;;1.089.082.981;2025-07-15
;USIM5;USIMINAS;PNA     N1;0,104;;515.193.199;2025-07-15
;VALE3;VALE;ON      NM;11,319;;4.270.903.023;2025-07-15
;VAMO3;VAMOS;ON      NM;0,092;;485.166.826;2025-07-15
;VBBR3;VIBRA;ON      NM;1,152;;1.113.939.036;2025-07-15
;VIVA3;VIVARA S.A.;ON      NM;0,150;;123.160.591;2025-07-15
;WEGE3;WEG;ON      NM;2,805;;1.482.105.837;2025-07-15
;YDUQ3;YDUQS PART;ON      NM;0,172;;260.249.057;2025-07-15
