segment;cod;asset;type;part;partAcum;theoricalQty;dt_pregao
;ALOS3;ALLOS;ON      NM;0,494;;476.976.044;2025-07-15
;ABEV3;AMBEV S/A;ON;2,796;;4.394.835.131;2025-07-15
;ASAI3;ASSAI;ON      NM;0,638;;1.345.897.506;2025-07-15
;AURE3;AUREN;ON      NM;0,141;;323.738.747;2025-07-15
;AZZA3;AZZAS 2154;ON      NM;0,230;;136.643.320;2025-07-15
;B3SA3;B3;ON      NM;3,388;;5.200.055.464;2025-07-15
;BBSE3;BBSEGURIDADE;ON      NM;1,078;;637.332.335;2025-07-15
;BBDC3;BRADESCO;ON      N1;0,972;;1.469.064.981;2025-07-15
;BBDC4;BRADESCO;PN      N1;3,942;;5.111.682.020;2025-07-15
;BRAP4;BRADESPAR;PN      N1;0,198;;250.982.988;2025-07-15
;BBAS3;BRASIL;ON      NM;2,814;;2.842.613.858;2025-07-15
;BRKM5;BRASKEM;PNA     N1;0,121;;265.388.400;2025-07-15
;BRAV3;BRAVA;ON  ATZ NM;0,392;;451.311.960;2025-07-15
;BRFS3;BRF SA;ON      NM;0,837;;832.617.717;2025-07-15
;BPAC11;BTGP BANCO;UNT     N2;2,502;;1.287.247.964;2025-07-15
;CXSE3;CAIXA SEGURI;ON      NM;0,416;;600.000.000;2025-07-15
;CMIG4;CEMIG;PN      N1;0,949;;1.858.636.840;2025-07-15
;COGN3;COGNA ON;ON      NM;0,240;;1.872.454.628;2025-07-15
;CPLE6;COPEL;PNB     N2;0,944;;1.671.982.390;2025-07-15
;CSAN3;COSAN;ON      NM;0,349;;1.160.227.510;2025-07-15
;CPFE3;CPFL ENERGIA;ON      NM;0,338;;187.732.538;2025-07-15
;CMIN3;CSNMINERACAO;ON      N2;0,403;;1.646.519.336;2025-07-15
;CVCB3;CVC BRASIL;ON      NM;0,049;;450.926.127;2025-07-15
;CYRE3;CYRELA REALT;ON      NM;0,314;;257.174.951;2025-07-15
;DIRR3;DIRECIONAL;ON      NM;0,206;;108.541.907;2025-07-15
;ELET3;ELETROBRAS;ON      N1;3,353;;1.808.652.474;2025-07-15
;ELET6;ELETROBRAS;PNB     N1;0,549;;268.875.696;2025-07-15
;EMBR3;EMBRAER;ON      NM;2,590;;734.631.701;2025-07-15
;ENGI11;ENERGISA;UNT     N2;0,710;;326.175.300;2025-07-15
;ENEV3;ENEVA;ON      NM;1,201;;1.907.494.195;2025-07-15
;EGIE3;ENGIE BRASIL;ON      NM;0,519;;255.236.938;2025-07-15
;EQTL3;EQUATORIAL;ON      NM;2,034;;1.244.304.866;2025-07-15
;FLRY3;FLEURY;ON      NM;0,281;;455.988.366;2025-07-15
;GGBR4;GERDAU;PN      N1;1,043;;1.308.152.318;2025-07-15
;GOAU4;GERDAU MET;PN      N1;0,278;;623.866.944;2025-07-15
;HAPV3;HAPVIDA;ON      NM;0,496;;311.217.208;2025-07-15
;HYPE3;HYPERA;ON      NM;0,464;;360.057.207;2025-07-15
;IGTI11;IGUATEMI S.A;UNT     N1;0,208;;198.474.750;2025-07-15
;IRBR3;IRBBRASIL RE;ON      NM;0,172;;81.838.243;2025-07-15
;ISAE4;ISA ENERGIA;PN      N1;0,431;;395.801.044;2025-07-15
;ITSA4;ITAUSA;PN      N1;2,922;;5.856.697.902;2025-07-15
;ITUB4;ITAUUNIBANCO;PN      N1;7,948;;4.757.320.048;2025-07-15
;KLBN11;KLABIN S/A;UNT     N2;0,697;;765.785.673;2025-07-15
;RENT3;LOCALIZA;ON      NM;1,669;;956.264.719;2025-07-15
;LREN3;LOJAS RENNER;ON      NM;0,896;;1.030.587.204;2025-07-15
;MGLU3;MAGAZ LUIZA;ON      NM;0,135;;353.448.195;2025-07-15
;POMO4;MARCOPOLO;PN      N2;0,257;;666.378.439;2025-07-15
;MRFG3;MARFRIG;ON      NM;0,262;;237.618.211;2025-07-15
;BEEF3;MINERVA;ON      NM;0,109;;433.214.256;2025-07-15
;MOTV3;MOTIVA SA;ON      NM;0,612;;991.920.937;2025-07-15
;MRVE3;MRV;ON      NM;0,113;;375.507.695;2025-07-15
;MULT3;MULTIPLAN;ON      N2;0,389;;314.311.970;2025-07-15
;NATU3;NATURA;ON      NM;0,399;;845.713.747;2025-07-15
;PCAR3;P.ACUCAR-CBD;ON      NM;0,071;;461.260.303;2025-07-15
;PETR3;PETROBRAS;ON      N2;4,738;;2.820.420.899;2025-07-15
;PETR4;PETROBRAS;PN      N2;6,799;;4.410.955.873;2025-07-15
;RECV3;PETRORECSA;ON      NM;0,189;;274.981.010;2025-07-15
;PRIO3;PETRORIO;ON      NM;1,602;;779.999.989;2025-07-15
;PETZ3;PETZ;ON  ATZ NM;0,054;;295.519.280;2025-07-15
;PSSA3;PORTO SEGURO;ON      NM;0,461;;182.560.698;2025-07-15
;RADL3;RAIADROGASIL;ON  EJ  NM;0,847;;1.297.567.800;2025-07-15
;RAIZ4;RAIZEN;PN      N2;0,089;;1.210.756.333;2025-07-15
;RDOR3;REDE D OR;ON      NM;1,833;;1.145.289.019;2025-07-15
;RAIL3;RUMO S.A.;ON      NM;1,013;;1.216.914.397;2025-07-15
;SBSP3;SABESP;ON      NM;3,644;;683.495.706;2025-07-15
;SANB11;SANTANDER BR;UNT;0,464;;356.586.730;2025-07-15
;STBP3;SANTOS BRP;ON      NM;0,270;;409.543.219;2025-07-15
;SMTO3;SAO MARTINHO;ON      NM;0,105;;128.130.966;2025-07-15
;CSNA3;SID NACIONAL;ON;0,286;;727.459.637;2025-07-15
;SLCE3;SLC AGRICOLA;ON      NM;0,169;;194.261.422;2025-07-15
;SMFT3;SMART FIT;ON      NM;0,355;;328.547.988;2025-07-15
;SUZB3;SUZANO S.A.;ON  ATZ NM;1,508;;630.821.784;2025-07-15
;TAEE11;TAESA;UNT     N2;0,355;;218.568.234;2025-07-15
