segment;cod;asset;type;part;partAcum;theoricalQty;dt_pregao
;HAPV3;HAPVIDA;ON      NM;0,501;;311.217.208;2025-07-18
;HYPE3;HYPERA;ON      NM;0,460;;360.057.207;2025-07-18
;IGTI11;IGUATEMI S.A;UNT     N1;0,209;;198.474.750;2025-07-18
;IRBR3;IRBBRASIL RE;ON      NM;0,176;;81.838.243;2025-07-18
;ISAE4;ISA ENERGIA;PN      N1;0,426;;395.801.044;2025-07-18
;ITSA4;ITAUSA;PN      N1;2,983;;5.856.697.902;2025-07-18
;ITUB4;ITAUUNIBANCO;PN      N1;8,120;;4.757.320.048;2025-07-18
;KLBN11;KLABIN S/A;UNT     N2;0,699;;765.785.673;2025-07-18
;RENT3;LOCALIZA;ON      NM;1,707;;956.264.719;2025-07-18
;LREN3;LOJAS RENNER;ON      NM;0,922;;1.030.587.204;2025-07-18
;MGLU3;MAGAZ LUIZA;ON      NM;0,138;;353.448.195;2025-07-18
;POMO4;MARCOPOLO;PN      N2;0,265;;666.378.439;2025-07-18
;MRFG3;MARFRIG;ON      NM;0,264;;237.618.211;2025-07-18
;BEEF3;MINERVA;ON      NM;0,112;;433.214.256;2025-07-18
;MOTV3;MOTIVA SA;ON      NM;0,614;;991.920.937;2025-07-18
;MRVE3;MRV;ON      NM;0,109;;375.507.695;2025-07-18
;MULT3;MULTIPLAN;ON      N2;0,392;;314.311.970;2025-07-18
;NATU3;NATURA;ON      NM;0,390;;845.713.747;2025-07-18
;PCAR3;P.ACUCAR-CBD;ON      NM;0,083;;461.260.303;2025-07-18
;PETR3;PETROBRAS;ON      N2;4,602;;2.820.420.899;2025-07-18
;PETR4;PETROBRAS;PN      N2;6,633;;4.410.955.873;2025-07-18
;RECV3;PETRORECSA;ON      NM;0,183;;274.981.010;2025-07-18
;PRIO3;PETRORIO;ON      NM;1,614;;779.999.989;2025-07-18
;PETZ3;PETZ;ON  ATZ NM;0,057;;295.519.280;2025-07-18
;PSSA3;PORTO SEGURO;ON      NM;0,453;;182.560.698;2025-07-18
;RADL3;RAIADROGASIL;ON      NM;0,869;;1.297.567.800;2025-07-18
;RAIZ4;RAIZEN;PN      N2;0,088;;1.210.756.333;2025-07-18
;RDOR3;REDE D OR;ON      NM;1,838;;1.145.289.019;2025-07-18
;RAIL3;RUMO S.A.;ON      NM;0,972;;1.216.914.397;2025-07-18
;SBSP3;SABESP;ON      NM;3,674;;683.495.706;2025-07-18
;SANB11;SANTANDER BR;UNT EJ;0,473;;356.586.730;2025-07-18
;STBP3;SANTOS BRP;ON      NM;0,270;;409.543.219;2025-07-18
;SMTO3;SAO MARTINHO;ON      NM;0,108;;128.130.966;2025-07-18
;CSNA3;SID NACIONAL;ON;0,275;;727.459.637;2025-07-18
;SLCE3;SLC AGRICOLA;ON      NM;0,169;;194.261.422;2025-07-18
;SMFT3;SMART FIT;ON      NM;0,355;;328.547.988;2025-07-18
;SUZB3;SUZANO S.A.;ON  ATZ NM;1,522;;630.821.784;2025-07-18
;TAEE11;TAESA;UNT     N2;0,351;;218.568.234;2025-07-18
;VIVT3;TELEF BRASIL;ON;1,143;;764.884.256;2025-07-18
;TIMS3;TIM;ON      NM;0,797;;806.346.600;2025-07-18
;TOTS3;TOTVS;ON      NM;1,073;;531.531.039;2025-07-18
;UGPA3;ULTRAPAR;ON      NM;0,837;;1.089.082.981;2025-07-18
;USIM5;USIMINAS;PNA     N1;0,099;;515.193.199;2025-07-18
;VALE3;VALE;ON      NM;11,082;;4.270.903.023;2025-07-18
;VAMO3;VAMOS;ON      NM;0,092;;485.166.826;2025-07-18
;VBBR3;VIBRA;ON      NM;1,124;;1.113.939.036;2025-07-18
;VIVA3;VIVARA S.A.;ON      NM;0,148;;123.160.591;2025-07-18
;WEGE3;WEG;ON      NM;2,981;;1.482.105.837;2025-07-18
;YDUQ3;YDUQS PART;ON      NM;0,178;;260.249.057;2025-07-18
