segment;cod;asset;type;part;partAcum;theoricalQty;dt_pregao
;ALOS3;ALLOS;ON      NM;0,506;;476.976.044;2025-07-18
;ABEV3;AMBEV S/A;ON;2,827;;4.394.835.131;2025-07-18
;ASAI3;ASSAI;ON      NM;0,647;;1.345.897.506;2025-07-18
;AURE3;AUREN;ON      NM;0,139;;323.738.747;2025-07-18
;AZZA3;AZZAS 2154;ON      NM;0,238;;136.643.320;2025-07-18
;B3SA3;B3;ON      NM;3,414;;5.200.055.464;2025-07-18
;BBSE3;BBSEGURIDADE;ON      NM;1,061;;637.332.335;2025-07-18
;BBDC3;BRADESCO;ON      N1;0,967;;1.469.064.981;2025-07-18
;BBDC4;BRADESCO;PN      N1;3,915;;5.111.682.020;2025-07-18
;BRAP4;BRADESPAR;PN      N1;0,193;;250.982.988;2025-07-18
;BBAS3;BRASIL;ON      NM;2,817;;2.842.613.858;2025-07-18
;BRKM5;BRASKEM;PNA     N1;0,114;;265.388.400;2025-07-18
;BRAV3;BRAVA;ON  ATZ NM;0,404;;451.311.960;2025-07-18
;BRFS3;BRF SA;ON      NM;0,819;;832.617.717;2025-07-18
;BPAC11;BTGP BANCO;UNT     N2;2,566;;1.287.247.964;2025-07-18
;CXSE3;CAIXA SEGURI;ON      NM;0,402;;600.000.000;2025-07-18
;CMIG4;CEMIG;PN      N1;0,929;;1.858.636.840;2025-07-18
;COGN3;COGNA ON;ON      NM;0,244;;1.872.454.628;2025-07-18
;CPLE6;COPEL;PNB     N2;0,959;;1.671.982.390;2025-07-18
;CSAN3;COSAN;ON      NM;0,343;;1.160.227.510;2025-07-18
;CPFE3;CPFL ENERGIA;ON      NM;0,341;;187.732.538;2025-07-18
;CMIN3;CSNMINERACAO;ON      N2;0,402;;1.646.519.336;2025-07-18
;CVCB3;CVC BRASIL;ON      NM;0,054;;450.926.127;2025-07-18
;CYRE3;CYRELA REALT;ON      NM;0,330;;257.174.951;2025-07-18
;DIRR3;DIRECIONAL;ON      NM;0,215;;108.541.907;2025-07-18
;ELET3;ELETROBRAS;ON      N1;3,383;;1.808.652.474;2025-07-18
;ELET6;ELETROBRAS;PNB     N1;0,551;;268.875.696;2025-07-18
;EMBR3;EMBRAER;ON      NM;2,496;;734.631.701;2025-07-18
;ENGI11;ENERGISA;UNT     N2;0,713;;326.175.300;2025-07-18
;ENEV3;ENEVA;ON      NM;1,254;;1.907.494.195;2025-07-18
;EGIE3;ENGIE BRASIL;ON      NM;0,504;;255.236.938;2025-07-18
;EQTL3;EQUATORIAL;ON      NM;2,053;;1.244.304.866;2025-07-18
;FLRY3;FLEURY;ON      NM;0,278;;455.988.366;2025-07-18
;GGBR4;GERDAU;PN      N1;1,022;;1.308.152.318;2025-07-18
;GOAU4;GERDAU MET;PN      N1;0,270;;623.866.944;2025-07-18
